timestamp,label,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
20250527_114507_773530,0,0.7048659920692444,0.6309996247291565,6.207388310031092e-07,0.6492152810096741,0.605853259563446,-0.05344134941697121,0.6218564510345459,0.5235194563865662,-0.07157161086797714,0.6209245324134827,0.4378071129322052,-0.08182466775178909,0.5984643697738647,0.3748086392879486,-0.0893021747469902,0.6388275027275085,0.3895466923713684,-0.03197033703327179,0.6420229077339172,0.28484052419662476,-0.05245273560285568,0.6468441486358643,0.21575282514095306,-0.0711463987827301,0.654066264629364,0.158525288105011,-0.08362563699483871,0.6673470735549927,0.37515658140182495,-0.016687072813510895,0.6631503701210022,0.2635805010795593,-0.028819015249609947,0.6613548398017883,0.1942524015903473,-0.040477871894836426,0.6615687608718872,0.13503336906433105,-0.049289025366306305,0.6938416957855225,0.3817451000213623,-0.008466514758765697,0.6901231408119202,0.2815569043159485,-0.01960735023021698,0.6860306859016418,0.21782368421554565,-0.028492510318756104,0.6835428476333618,0.1628977209329605,-0.03576051443815231,0.725161075592041,0.4036843776702881,-0.0064076208509504795,0.7274061441421509,0.3310003876686096,-0.015583820641040802,0.7253783345222473,0.28463876247406006,-0.021125277504324913,0.7210717797279358,0.2425771951675415,-0.025595806539058685
20250527_114508_514374,0,0.7380796670913696,0.6010034680366516,1.039223661791766e-06,0.7136016488075256,0.5871014595031738,-0.11308454722166061,0.7014139890670776,0.5207456350326538,-0.15747575461864471,0.6971137523651123,0.4515252113342285,-0.17941665649414062,0.6741926670074463,0.3707575798034668,-0.19796748459339142,0.6853199601173401,0.3842506408691406,-0.1015298068523407,0.6755456328392029,0.27256855368614197,-0.11597093194723129,0.671755313873291,0.1972549706697464,-0.12776564061641693,0.6699787974357605,0.13911882042884827,-0.1354471892118454,0.7057938575744629,0.37479090690612793,-0.04658704996109009,0.6872332096099854,0.2590038776397705,-0.05052885040640831,0.6774997711181641,0.18278826773166656,-0.057080600410699844,0.671359658241272,0.12898224592208862,-0.06319010257720947,0.7269681096076965,0.37704041600227356,0.00082194316200912,0.7096388936042786,0.2826255261898041,0.002626609755679965,0.7018020153045654,0.21530349552631378,-0.005108690820634365,0.6955002546310425,0.16125056147575378,-0.014171188697218895,0.7485913634300232,0.3860415518283844,0.037901341915130615,0.7450405955314636,0.31492963433265686,0.04015140235424042,0.7408528923988342,0.2662287652492523,0.033809859305620193,0.7375606894493103,0.22773237526416779,0.02633967623114586
20250527_114509_003950,0,0.7621806859970093,0.6288374662399292,8.823882922115445e-07,0.7222661375999451,0.6093560457229614,-0.0966249629855156,0.7036234736442566,0.5370118021965027,-0.13095735013484955,0.6996355652809143,0.4600105285644531,-0.1463664323091507,0.6715168952941895,0.3913562595844269,-0.15775513648986816,0.6908808946609497,0.40366071462631226,-0.0748361274600029,0.6809720396995544,0.29328954219818115,-0.08924737572669983,0.6758506894111633,0.22234393656253815,-0.10385282337665558,0.6732941269874573,0.16502872109413147,-0.11377209424972534,0.7174660563468933,0.3926926851272583,-0.030057931318879128,0.6998370289802551,0.27863624691963196,-0.033451586961746216,0.6893693804740906,0.2049252837896347,-0.040931858122348785,0.681388258934021,0.14859366416931152,-0.04807744920253754,0.7425057291984558,0.3971512019634247,0.006615903228521347,0.725029706954956,0.2997022271156311,0.005684704054147005,0.7134987115859985,0.23476748168468475,-0.0019888582173734903,0.7047502994537354,0.18153084814548492,-0.010183308273553848,0.7699788212776184,0.40800997614860535,0.03386247530579567,0.764218807220459,0.334124356508255,0.031762197613716125,0.7587482333183289,0.28525394201278687,0.024912036955356598,0.754176139831543,0.2420591562986374,0.01807403191924095
20250527_114509_670449,0,0.7496447563171387,0.6602269411087036,4.47668924152822e-07,0.6811221837997437,0.6358698606491089,-0.029766865074634552,0.6361056566238403,0.5714725852012634,-0.031178606674075127,0.6139490604400635,0.5067167282104492,-0.02956949733197689,0.582362949848175,0.47064799070358276,-0.02536129392683506,0.6507155299186707,0.4726138114929199,0.024541545659303665,0.632969319820404,0.3952871561050415,0.02683057077229023,0.6290130615234375,0.3503091633319855,0.017530333250761032,0.6251936554908752,0.30880245566368103,0.008283652365207672,0.6853306293487549,0.45490172505378723,0.03256778046488762,0.665454626083374,0.3735211491584778,0.04000482335686684,0.6569315791130066,0.3228868246078491,0.03181612119078636,0.6502548456192017,0.28240689635276794,0.022815721109509468,0.7154942154884338,0.4547174274921417,0.03348641097545624,0.6997461318969727,0.37874311208724976,0.037751320749521255,0.6912917494773865,0.3362947106361389,0.03513488546013832,0.6853267550468445,0.2983417510986328,0.030240312218666077,0.7527428865432739,0.4616332948207855,0.029486604034900665,0.7402739524841309,0.4009551405906677,0.03273465856909752,0.7318896651268005,0.3674481213092804,0.03475126624107361,0.7236108779907227,0.33288973569869995,0.0339428149163723
20250527_114510_178191,0,0.7345196008682251,0.7220762968063354,3.112769775270863e-07,0.6680299639701843,0.6941648721694946,-0.0186699777841568,0.6257103681564331,0.6202173829078674,-0.019915426149964333,0.6091240048408508,0.5516356229782104,-0.02056884579360485,0.5837157368659973,0.5088863372802734,-0.020017197355628014,0.6478487849235535,0.5139378309249878,0.011361205019056797,0.6366215348243713,0.42909902334213257,0.0016921829665079713,0.6349875926971436,0.37880003452301025,-0.012719893828034401,0.6344664096832275,0.3350070118904114,-0.02415059506893158,0.6833497285842896,0.4966663718223572,0.009818686172366142,0.6693081259727478,0.40545493364334106,0.00400178087875247,0.6642456650733948,0.34964513778686523,-0.008779005147516727,0.6596508026123047,0.3032539188861847,-0.019486835226416588,0.7154237031936646,0.49973243474960327,0.0032006017863750458,0.705390453338623,0.4144394099712372,-0.0046938518062233925,0.6998339891433716,0.3649720549583435,-0.011989685706794262,0.6954736709594727,0.32249587774276733,-0.01857420988380909,0.7521922588348389,0.5154495239257812,-0.006485796999186277,0.744007408618927,0.44824227690696716,-0.013998887501657009,0.7375830411911011,0.40792518854141235,-0.016065416857600212,0.7309222221374512,0.3686985373497009,-0.018285823985934258
20250527_114510_586546,0,0.7220022678375244,0.8099097013473511,3.283076068782975e-07,0.6569903492927551,0.7818088531494141,-0.021438341587781906,0.6141402721405029,0.7060854434967041,-0.026294177398085594,0.5968037247657776,0.6312381625175476,-0.030343391001224518,0.5709879994392395,0.5799647569656372,-0.033191170543432236,0.6364452838897705,0.5926299691200256,0.004626226145774126,0.6256019473075867,0.5086150169372559,-0.009152970276772976,0.6218864917755127,0.4562758505344391,-0.025269970297813416,0.6202100515365601,0.4076908230781555,-0.03813070058822632,0.6707996726036072,0.5765268802642822,0.0018797671655192971,0.6571652889251709,0.4832707643508911,-0.007832703180611134,0.6507574915885925,0.4252013564109802,-0.021596571430563927,0.6447063684463501,0.37205255031585693,-0.03296841308474541,0.7023617029190063,0.5826734900474548,-0.006139716133475304,0.6912206411361694,0.49501916766166687,-0.017931368201971054,0.6848463416099548,0.4419538974761963,-0.025916682556271553,0.6789056062698364,0.39399951696395874,-0.03286246955394745,0.738460898399353,0.6034948825836182,-0.017459608614444733,0.7316439747810364,0.5360668897628784,-0.028295887634158134,0.7265970706939697,0.4930785000324249,-0.031884532421827316,0.7204145193099976,0.4513612985610962,-0.035211823880672455
20250527_114515_472699,1,0.7220240235328674,0.5830146074295044,-5.067514621259761e-07,0.6634678244590759,0.582390308380127,-0.02284204214811325,0.6131216287612915,0.5176713466644287,-0.028396567329764366,0.591550350189209,0.44241732358932495,-0.0332636721432209,0.5851163864135742,0.3876410126686096,-0.03217846527695656,0.6252691745758057,0.4419015049934387,0.0025551519356667995,0.6208389401435852,0.3843056857585907,-0.02555515617132187,0.6352479457855225,0.443584144115448,-0.03722146525979042,0.6420283913612366,0.46863624453544617,-0.040694259107112885,0.6598111391067505,0.43216753005981445,0.0025496480520814657,0.6551731824874878,0.3777649402618408,-0.024989843368530273,0.664887547492981,0.4523525834083557,-0.027339493855834007,0.6661518812179565,0.4644484221935272,-0.0215911865234375,0.6934376358985901,0.43102481961250305,-0.004289818461984396,0.6920982003211975,0.38166502118110657,-0.03392939642071724,0.6959475874900818,0.45464035868644714,-0.022091098129749298,0.6951050162315369,0.4691145122051239,-0.0063252560794353485,0.7278178334236145,0.43306615948677063,-0.013517509214580059,0.7262927889823914,0.3996066153049469,-0.028627686202526093,0.7252894043922424,0.45127955079078674,-0.01811264455318451,0.723357617855072,0.46741336584091187,-0.0061226473189890385
20250527_114516_124324,1,0.7002059817314148,0.5960021615028381,-5.320404170561233e-07,0.6385063529014587,0.5976001024246216,-0.013651927933096886,0.589786171913147,0.5409078598022461,-0.01739719696342945,0.5659283995628357,0.4767276644706726,-0.023281248286366463,0.5537765622138977,0.4258003532886505,-0.024854525923728943,0.6045255064964294,0.46435192227363586,0.009644437581300735,0.5813877582550049,0.42026111483573914,-0.0159443486481905,0.5965077877044678,0.47677287459373474,-0.026736855506896973,0.6127519607543945,0.5021663308143616,-0.029107529670000076,0.6321381330490112,0.45150095224380493,0.006113540381193161,0.6100713014602661,0.4118441939353943,-0.01796572282910347,0.6241945624351501,0.47982123494148254,-0.018467770889401436,0.6398767828941345,0.49068936705589294,-0.011325899511575699,0.6637296676635742,0.4481297433376312,-0.003443341236561537,0.6411547660827637,0.4107883870601654,-0.029378021135926247,0.6517159938812256,0.47868525981903076,-0.016072530299425125,0.6662507653236389,0.4925200343132019,0.000717672286555171,0.6981756091117859,0.44891807436943054,-0.014788037165999413,0.6753467917442322,0.42590638995170593,-0.027092648670077324,0.6776632070541382,0.4737117290496826,-0.01510136853903532,0.688713788986206,0.48787203431129456,-0.0019135433249175549
20250527_114516_645872,1,0.6893904209136963,0.6007179021835327,-5.652147478940606e-07,0.6344972252845764,0.5991098284721375,-0.005124987103044987,0.5953262448310852,0.5440822243690491,-0.005595375318080187,0.5826395750045776,0.48390132188796997,-0.010240855626761913,0.5692760944366455,0.4406402111053467,-0.011754486709833145,0.6102632284164429,0.47320565581321716,0.016183320432901382,0.5824612379074097,0.43323424458503723,-0.009547343477606773,0.5897337794303894,0.4857032597064972,-0.020462946966290474,0.6066935062408447,0.51108717918396,-0.022246617823839188,0.6316090226173401,0.46319904923439026,0.009101870469748974,0.6008809804916382,0.42311859130859375,-0.019126717001199722,0.6104915738105774,0.4889243543148041,-0.022189129143953323,0.6315988898277283,0.5027590394020081,-0.014467805624008179,0.6575992703437805,0.45721063017845154,-0.0032876774203032255,0.6245405077934265,0.4246727228164673,-0.03327716886997223,0.6342450380325317,0.49147355556488037,-0.024231983348727226,0.6557278037071228,0.5066938996315002,-0.008138513192534447,0.6874810457229614,0.4537113606929779,-0.01647310145199299,0.6513470411300659,0.43867743015289307,-0.03451975807547569,0.656461775302887,0.4833640158176422,-0.027284640818834305,0.6763550639152527,0.49568140506744385,-0.015556872822344303
20250527_114517_212588,1,0.7086389064788818,0.6157655715942383,-5.926947324041976e-07,0.653072714805603,0.5753504037857056,0.009726758114993572,0.6407398581504822,0.5237618684768677,0.011162473820149899,0.6360787749290466,0.4800459146499634,0.004595768637955189,0.6315551996231079,0.4417800009250641,0.00017263075278606266,0.6758682727813721,0.44447341561317444,0.03453464061021805,0.6242019534111023,0.43391644954681396,0.00946926511824131,0.6289132237434387,0.4785131514072418,-0.008506475947797298,0.652661144733429,0.5028901100158691,-0.01613507606089115,0.687716543674469,0.4358711838722229,0.01964939944446087,0.6215823292732239,0.431341290473938,-0.008723141625523567,0.6299183368682861,0.4876594543457031,-0.019631829112768173,0.6573383808135986,0.505569577217102,-0.01842992566525936,0.6997929215431213,0.43148064613342285,0.0006787055754102767,0.628203809261322,0.43243977427482605,-0.02435067854821682,0.6369186043739319,0.49044010043144226,-0.019768616184592247,0.6655301451683044,0.5039604902267456,-0.008418534882366657,0.7104521989822388,0.43696409463882446,-0.018871689215302467,0.6481706500053406,0.44642505049705505,-0.03222449868917465,0.6516733169555664,0.48715436458587646,-0.026507439091801643,0.6762276887893677,0.498569130897522,-0.016666229814291
